label,path
glass_break,../data/proccessed/processed_dataset/glass_break\040683_breaking-glass-75142_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\040683_breaking-glass-75142_chunk_2.wav
glass_break,../data/proccessed/processed_dataset/glass_break\040683_breaking-glass-75142_chunk_3.wav
glass_break,../data/proccessed/processed_dataset/glass_break\040683_breaking-glass-75142_chunk_4.wav
glass_break,../data/proccessed/processed_dataset/glass_break\040683_breaking-glass-75142_chunk_5.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022304_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022304_chunk_2.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022305_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022306_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022307_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022309_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022314_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022315_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022376_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022377_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022378_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022379_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022380_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022381_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022382_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022384_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022385_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022387_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022396_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022397_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022397_chunk_2.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022397_chunk_3.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022397_chunk_4.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022397_chunk_5.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022397_chunk_6.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022483_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022486_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022489_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022493_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022494_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07022504_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065159_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065164_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065165_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065165_chunk_2.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065165_chunk_3.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065165_chunk_4.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065165_chunk_5.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065165_chunk_6.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065167_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065168_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065172_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065172_chunk_2.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065173_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065173_chunk_2.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065173_chunk_3.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065174_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065174_chunk_2.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065174_chunk_3.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065174_chunk_4.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065174_chunk_5.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065174_chunk_6.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065175_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\07065176_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\1-20133-A-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\1-84536-A-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\1-84704-A-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\2-112213-A-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\2-112213-B-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\2-141563-A-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\2-173559-A-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\2-173607-A-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\2-173618-A-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\2-250710-A-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\20133__gezortenplotz__breaking_glass_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\28ad8eef-ee3e-44c1-95d2-7a6c6103befb_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\2e233108-0044-4c14-90ee-049e1b61a047_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\3-203371-A-39_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\394039__glock102020202__glass-break_chunk_1.wav
glass_break,../data/proccessed/processed_dataset/glass_break\394039__glock102020202__glass-break_chunk_2.wav
glass_break,../data/proccessed/processed_dataset/glass_break\394039__glock102020202__glass-break_chunk_3.wav
glass_break,../data/proccessed/processed_dataset/glass_break\394039__glock102020202__glass-break_chunk_4.wav
